5214BLCF3Y,Basic Linux and Coding for AA
5214OPMA6Y,Open Problems in Modern Astrophysics
52548BIC6Y,BioSolar Cells
52548GRC6Y,Green Chemistry
5254ENCH6Y,Environmental Chemistry
53541MMT6Y,Mathematical Methods in Theoretical Physics I
53541PAP6Y,Particle Physics I
53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics
53541SHO0Y,Showcase 1
53541SPC6Y,Statistical Physics and Condensed Matter Theory I
53548BIM6Y,Biomedical Modelling and Simulation
53548SMS6Y,Statistical Mechanics of Soft Matter
5354EMEM6Y,Emergent Energy Materials
5354LITI6Y,Light-tissue Interaction
5354PHSC6Y,Philosophy of Science
5354STDA6Y,Statistical Data Analysis
