Name,Name of Module,Description of Module,Description of Type,Size,Activity dates,Duration
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,01/09/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,08/09/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,15/09/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,22/09/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,29/09/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,06/10/15,16
5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,13/10/15,16
5214BLCF3Y/CP/P1/02,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,25,3/9/15,10/9/15,17/9/15,24/9/15,1/10/15,8/10/15,15/10/15,16
5214BLCF3Y/HerT/P3/01,5214BLCF3Y,Basic Linux and Coding for AA,Hertentamen,5,11/01/16,13
5214BLCF3Y/Tent/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Tentamen,30,19/10/15,13
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,29/03/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,05/04/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,11/04/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,19/04/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,25/04/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,03/05/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,10/05/16,8
5214HRPR6Y/H/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,17/05/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,01/04/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,08/04/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,13/04/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,22/04/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,29/04/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,13/05/16,8
5214HRPR6Y/H/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hoorcollege,25,20/05/16,8
5214HRPR6Y/HerT/P6/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Hertentamen,4,13/06/16,13
5214HRPR6Y/Tent/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Tentamen,25,27/05/16,13
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,30/03/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,06/04/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,12/04/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,20/04/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,26/04/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,04/05/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,11/05/16,8
5214HRPR6Y/WC/P5/01,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,18/05/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,01/04/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,08/04/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,18/04/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,22/04/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,29/04/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,13/05/16,8
5214HRPR6Y/WC/P5/02,5214HRPR6Y,HEA: Radiative Processes and Relativistic Flows,Werkcollege,25,20/05/16,8
5214OPMA6Y/H/P1/01,5214OPMA6Y,Open Problems in Modern Astrophysics,Hoorcollege,21,31/8/15,7/9/15,14/9/15,21/9/15,28/9/15,5/10/15,12/10/15,8
5214OPMA6Y/H/P1/02,5214OPMA6Y,Open Problems in Modern Astrophysics,Hoorcollege,21,4/9/15,11/9/15,18/9/15,25/9/15,2/10/15,9/10/15,16/10/15,8
5214SMFA3Y/CP/P2/01,5214SMFA3Y,Statistical Methods for the Physical Sciences,Computer practicum,40,30/10/15,6/11/15,13/11/15,20/11/15,27/11/15,4/12/15,11/12/15,8
5214SMFA3Y/H/P2/01,5214SMFA3Y,Statistical Methods for the Physical Sciences,Hoorcollege,40,26/10/15,2/11/15,9/11/15,16/11/15,23/11/15,30/11/15,7/12/15,8
5214SMFA3Y/H/P2/02,5214SMFA3Y,Statistical Methods for the Physical Sciences,Hoorcollege,40,27/10/15,3/11/15,10/11/15,17/11/15,24/11/15,1/12/15,8/12/15,8
5214STES6Y/H/P4/01,5214STES6Y,Structure and Evolution of Stars,Hoorcollege,20,1/2/16,8/2/16,15/2/16,22/2/16,29/2/16,7/3/16,14/3/16,8
5214STES6Y/H/P4/02,5214STES6Y,Structure and Evolution of Stars,Hoorcollege,20,2/2/16,9/2/16,16/2/16,23/2/16,1/3/16,8/3/16,15/3/16,8
5214STES6Y/Tent/P4/01,5214STES6Y,Structure and Evolution of Stars,Tentamen,20,21/03/16,17
